Timestamp,PID,Name,CPU (%),RAM (MB),RAM (%),Running Time 
2026-06-20T23:31:25+07:00,78042,Code Helper (Renderer),3.92,409.91,2.50,22m16.655572s
2026-06-20T23:31:25+07:00,78414,Code Helper (Plugin),1.20,298.17,1.82,22m14.660489s
2026-06-20T23:31:25+07:00,80250,Google Chrome Helper (Renderer),3.65,232.92,1.42,2m59.713661s
2026-06-20T23:31:25+07:00,46220,Google Chrome Helper (Renderer),1.10,231.62,1.41,24h57m27.686686s
2026-06-20T23:31:29+07:00,74582,Google Chrome Helper (Renderer),32.68,220.22,1.34,1h41m28.859887s
2026-06-20T23:31:29+07:00,46185,Google Chrome Helper (Renderer),8.62,224.14,1.37,24h58m34.459027s
2026-06-20T23:31:29+07:00,48742,Google Chrome Helper (Renderer),4.92,177.31,1.08,24h14m35.749901s
2026-06-20T23:31:29+07:00,78042,Code Helper (Renderer),3.93,411.45,2.51,22m20.827498s
2026-06-20T23:31:29+07:00,80250,Google Chrome Helper (Renderer),3.58,233.09,1.42,3m3.813058s
2026-06-20T23:31:29+07:00,44030,Google Chrome,1.44,471.17,2.88,37h32m29.41351s
2026-06-20T23:31:29+07:00,78042,Code Helper (Renderer),3.93,411.45,2.51,22m20.827498s
2026-06-20T23:31:29+07:00,78414,Code Helper (Plugin),1.19,298.30,1.82,22m18.839347s
2026-06-20T23:31:29+07:00,80250,Google Chrome Helper (Renderer),3.58,233.09,1.42,3m3.813058s
2026-06-20T23:31:29+07:00,46220,Google Chrome Helper (Renderer),1.10,231.77,1.41,24h57m31.848994s
2026-06-20T23:31:33+07:00,74582,Google Chrome Helper (Renderer),32.66,219.50,1.34,1h41m32.906313s
2026-06-20T23:31:33+07:00,46185,Google Chrome Helper (Renderer),8.62,223.62,1.36,24h58m38.866297s
2026-06-20T23:31:33+07:00,48742,Google Chrome Helper (Renderer),4.92,176.61,1.08,24h14m39.859549s
2026-06-20T23:31:33+07:00,78042,Code Helper (Renderer),3.94,408.77,2.49,22m24.851498s
2026-06-20T23:31:33+07:00,80250,Google Chrome Helper (Renderer),3.52,220.97,1.35,3m7.886239s
2026-06-20T23:31:33+07:00,44030,Google Chrome,1.44,467.48,2.85,37h32m33.814448s
2026-06-20T23:31:33+07:00,78042,Code Helper (Renderer),3.94,408.77,2.49,22m24.851498s
2026-06-20T23:31:33+07:00,78414,Code Helper (Plugin),1.19,297.62,1.82,22m22.880719s
2026-06-20T23:31:33+07:00,46220,Google Chrome Helper (Renderer),1.10,231.39,1.41,24h57m35.442812s
2026-06-20T23:31:33+07:00,46185,Google Chrome Helper (Renderer),8.62,223.62,1.36,24h58m38.866297s
